0,-5.249568e+000,14050
1,-5.250084e+000,14050
2,-5.250599e+000,14050
3,-5.251114e+000,14050
4,-5.251631e+000,14050
5,-5.252147e+000,14050
6,-5.252665e+000,14050
7,-5.253183e+000,14050
8,-5.253701e+000,14050
9,-5.254221e+000,14050
10,-5.254741e+000,14050
11,-5.255262e+000,14050
12,-5.255783e+000,14050
13,-5.256305e+000,14050
14,-5.256827e+000,14050
15,-5.257349e+000,14050
16,-5.257871e+000,14050
17,-5.258394e+000,14050
18,-5.258916e+000,14050
19,-5.259439e+000,14050
20,-5.259961e+000,14050
21,-5.260483e+000,14050
22,-5.261005e+000,14050
23,-5.261527e+000,14050
24,-5.262048e+000,14050
25,-5.262569e+000,14050
26,-5.263089e+000,14050
27,-5.263609e+000,14050
28,-5.264128e+000,14050
29,-5.264646e+000,14050
30,-5.265164e+000,14050
31,-5.265681e+000,14050
32,-5.266198e+000,14050
33,-5.266713e+000,14050
34,-5.267228e+000,14050
35,-5.267743e+000,14050
36,-5.268256e+000,14050
37,-5.268768e+000,14050
38,-5.269280e+000,14050
39,-5.269791e+000,14050
40,-5.270301e+000,14050
41,-5.270810e+000,14050
42,-5.271318e+000,14050
43,-5.271825e+000,14050
44,-5.272331e+000,14050
45,-5.272837e+000,14050
46,-5.273341e+000,14050
47,-5.273845e+000,14050
48,-5.274348e+000,14050
49,-5.274849e+000,14050
50,-5.275350e+000,14050
